,Id,square,livingRoom,bedRoom,Kitchen,bathroom,totalFloor,floor,buildingStructure,builtYear,renovationCondition,buildingType,houseStructure,stairsHouseRatio,hasElevator,secondaryDistrict,primaryDistrict,orientation,tradeTime,daysOnMarket,follower,ageProperty,listPrice,transactionPrice
0,107103888722,131.61,1,4,1,2,11,中楼层,混合结构,未知,精装,板塔结合,平层,1.0,有,东沙湖,工业园区,南北,2021.07.31,2021-04-23,24,满五年,668,653
1,107103780503,94.98,2,3,0,1,17,中楼层,钢混结构,未知,精装,板塔结合,平层,0.6666666666666666,有,木渎,吴中,南,2021.07.31,2021-03-28,6,满两年,230,222
2,107104228193,44.42,1,1,1,1,12,低楼层,钢混结构,未知,精装,板楼,平层,0.25,有,玉山城南,昆山,南,2021.07.31,2021-07-18,4,满五年,66,63
3,107102043087,132.73,2,3,1,2,4,中楼层,砖混结构,未知,简装,板塔结合,平层,0.5,无,南门,姑苏,南,2021.07.31,2019-12-05,62,满五年,477,455
4,107104122445,146,2,4,1,2,17,中楼层,钢混结构,未知,精装,板塔结合,平层,0.5,暂无数据,张家港城南,张家港,南,2021.07.31,2021-06-20,1,暂无数据,298,285
5,107103813910,156.65,3,4,1,2,6,高楼层,框架结构,未知,精装,板楼,复式,0.5,无,花桥,昆山,南,2021.07.31,2021-04-06,11,满五年,195,194
6,107104234793,87.95,2,2,1,1,33,中楼层,混合结构,未知,精装,板塔结合,平层,0.6666666666666666,有,开发区,昆山,南,2021.07.31,2021-07-19,3,暂无数据,190,185
7,107104238806,49.27,1,1,1,1,29,高楼层,钢混结构,未知,精装,板楼,平层,0.6666666666666666,有,元和,相城,北,2021.07.31,2021-07-21,3,满两年,39,39
8,107102543334,75.7,2,2,1,1,25,中楼层,钢混结构,未知,精装,板楼,平层,0.5,有,湖东,工业园区,南,2021.07.31,2020-05-17,75,满两年,360,351
9,107104066814,38,1,1,1,1,8,高楼层,钢混结构,未知,毛坯,板塔结合,平层,3.0,有,滨江开发区,常熟,南,2021.07.31,2021-06-06,1,暂无数据,25,24
10,107103147193,172.52,2,5,1,3,18,低楼层,钢混结构,未知,毛坯,板楼,平层,1.0,有,太湖新城（吴中）,吴中,南北,2021.07.31,2020-10-08,45,暂无数据,510,504
11,107104264720,97.09,2,2,1,1,16,低楼层,钢混结构,未知,简装,板楼,暂无数据,0.5,暂无数据,玉山城北,昆山,南,2021.07.31,2021-07-30,1,满五年,171,168
12,107103855523,95.1,2,2,1,1,6,低楼层,砖混结构,未知,精装,暂无数据,平层,0.5,无,周市,昆山,南北,2021.07.31,2021-04-15,0,暂无数据,317,314
13,107104252612,92,1,3,1,1,5,中楼层,砖混结构,未知,精装,板楼,平层,0.5,无,玉山城北,昆山,南,2021.07.31,2021-07-25,0,暂无数据,173,140
14,107103691125,92.79,2,3,1,1,11,中楼层,钢混结构,未知,毛坯,板楼,平层,0.5,有,巴城,昆山,南,2021.07.31,2021-03-11,8,满五年,179,179
15,107103197172,42.29,1,2,1,1,6,高楼层,钢混结构,未知,精装,板楼,复式,0.5714285714285714,有,北桥,相城,北,2021.07.31,2020-10-20,22,满两年,42,41
16,107102422431,141.03,2,3,1,2,9,高楼层,钢混结构,未知,毛坯,板楼,平层,0.5,有,尹山湖,吴中,南,2021.07.31,2020-04-21,44,满两年,338,330
17,107103754261,93.6,2,2,1,1,9,中楼层,钢混结构,未知,精装,板塔结合,平层,0.5,暂无数据,大新,张家港,南,2021.07.31,2021-03-25,0,暂无数据,88,87
18,107103339479,110.03,2,3,1,2,17,低楼层,钢混结构,未知,精装,板塔结合,平层,0.3333333333333333,暂无数据,周市,昆山,南北,2021.07.30,2020-11-29,11,满五年,260,257
19,107103063956,79.41,2,2,1,1,32,高楼层,钢混结构,未知,精装,板楼,平层,0.5,有,郭巷,吴中,南北,2021.07.30,2020-09-15,15,满两年,188,186
20,107104194707,109.8,2,3,1,1,6,中楼层,砖混结构,未知,简装,板楼,平层,0.5,无,城东,张家港,南,2021.07.30,2021-07-09,1,满两年,115,112
21,107103792349,78.6,1,2,1,1,18,高楼层,钢混结构,未知,精装,板楼,平层,0.3333333333333333,有,阳山生态区,高新,南,2021.07.30,2021-03-31,20,满两年,169,167
22,107104071215,77.46,2,2,1,1,16,中楼层,钢混结构,未知,精装,板楼,平层,0.3333333333333333,有,太湖新城（吴江）,吴江,南,2021.07.30,2021-06-07,21,满五年,169,163
23,107102367551,60.85,1,1,1,1,19,高楼层,钢混结构,未知,精装,板楼,暂无数据,0.8,有,尹山湖,吴中,东南,2021.07.30,2020-04-10,41,暂无数据,140,137
24,107103963687,86.28,1,3,1,1,6,低楼层,钢混结构,未知,简装,平房,平层,1.0,暂无数据,玉山老城区,昆山,南,2021.07.30,2021-05-11,2,暂无数据,150,146
25,107103840912,153.92,2,3,1,2,16,低楼层,混合结构,未知,精装,板塔结合,平层,0.6666666666666666,有,苏苑,吴中,南,2021.07.30,2021-04-12,32,满五年,317,310
26,107103143281,101.31,2,3,1,1,11,低楼层,钢混结构,未知,精装,板塔结合,平层,0.5,有,东沙湖,工业园区,南,2021.07.30,2020-10-07,25,满五年,368,358
27,107102005278,55.45,1,2,1,1,3,低楼层,砖混结构,未知,简装,暂无数据,平层,0.3333333333333333,暂无数据,十全街,姑苏,南,2021.07.30,2019-11-23,64,满两年,194,194
28,107103247008,123,2,4,1,2,32,高楼层,钢混结构,未知,简装,板楼,暂无数据,0.6666666666666666,有,玲珑,工业园区,南北,2021.07.30,2020-11-03,28,暂无数据,699,677
29,107103613725,55.08,1,2,1,1,6,中楼层,钢混结构,未知,简装,板楼,平层,0.3333333333333333,无,葑门,姑苏,南,2021.07.30,2021-02-23,11,满五年,129,128
