,Id,square,livingRoom,bedRoom,Kitchen,bathroom,totalFloor,floor,buildingStructure,builtYear,renovationCondition,buildingType,houseStructure,stairsHouseRatio,hasElevator,secondaryDistrict,primaryDistrict,orientation,tradeTime,daysOnMarket,follower,ageProperty,listPrice,transactionPrice
0,107104318813,88.1,2,3,1,1,27,中楼层,钢混结构,未知,精装,板塔结合,平层,0.4,有,花桥,昆山,南,2021.08.21,2021-08-12,7,满五年,203,198
1,107104316625,95.31,2,2,1,1,29,低楼层,钢混结构,未知,精装,板楼,平层,0.5,有,玲珑,工业园区,南,2021.08.21,2021-08-11,4,暂无数据,565,545
2,107104042158,94.13,2,3,1,1,18,中楼层,钢混结构,未知,精装,板楼,平层,0.5,有,浒关,高新,南,2021.08.21,2021-06-01,18,满五年,221,218
3,107103703902,89.13,2,3,1,1,18,中楼层,钢混结构,未知,精装,板塔结合,平层,0.5,有,斜塘,工业园区,南,2021.08.21,2021-03-14,44,满两年,330,313
4,107102966405,141.19,2,3,1,2,7,中楼层,钢混结构,未知,精装,板楼,平层,0.5,暂无数据,花桥,昆山,南,2021.08.21,2020-08-22,7,暂无数据,250,246
5,107103892916,90.03,1,3,1,1,32,中楼层,钢混结构,未知,精装,板楼,平层,0.5,有,郭巷,吴中,南,2021.08.21,2021-04-24,30,满两年,217,220
6,107103916686,89.61,2,3,1,1,33,高楼层,钢混结构,未知,毛坯,板楼,平层,0.5,有,浒墅关经济技术开发区,高新,南北,2021.08.21,2021-04-30,6,暂无数据,203,198
7,107104133033,80.75,2,3,1,1,24,中楼层,钢混结构,未知,精装,板塔结合,平层,0.6666666666666666,有,青剑湖,工业园区,南,2021.08.21,2021-06-23,24,满五年,215,205
8,107104260686,103,2,3,1,2,34,中楼层,钢混结构,未知,精装,塔楼,平层,0.25,暂无数据,玉山老城区,昆山,南,2021.08.21,2021-07-28,3,暂无数据,228,223
9,107104136731,82.25,2,3,1,1,34,中楼层,钢混结构,未知,毛坯,板楼,平层,0.5,有,花桥,昆山,南,2021.08.21,2021-06-24,26,满五年,180,172
10,107104259598,90.61,2,2,1,1,8,中楼层,钢混结构,未知,精装,板塔结合,平层,0.5,有,湖东CBD,工业园区,南,2021.08.21,2021-07-28,11,满五年,411,403
11,107104119190,112.68,2,3,1,1,22,低楼层,钢混结构,未知,简装,塔楼,平层,0.25,有,玉山老城区,昆山,南,2021.08.21,2021-06-19,4,满两年,246,242
12,107104346082,54.6,1,2,1,1,6,中楼层,钢混结构,未知,简装,板楼,平层,0.3333333333333333,无,南门,姑苏,南北,2021.08.21,2021-08-19,0,满五年,141,139
13,107104348891,122.78,2,3,1,2,5,中楼层,钢混结构,未知,精装,板楼,错层,0.5,无,南门,姑苏,南,2021.08.21,2021-08-20,0,满五年,388,370
