,Id,square,livingRoom,bedRoom,Kitchen,bathroom,totalFloor,floor,buildingStructure,builtYear,renovationCondition,buildingType,houseStructure,stairsHouseRatio,hasElevator,secondaryDistrict,primaryDistrict,orientation,tradeTime,daysOnMarket,follower,ageProperty,listPrice,transactionPrice
0,107104185708,108.36,2,3,1,2,5,中楼层,钢混结构,未知,精装,板塔结合,平层,0.5,无,湖西CBD,工业园区,南,2021.08.02,2021-07-07,18,满五年,435,417
1,107103970478,90.54,2,2,1,1,11,高楼层,钢混结构,未知,毛坯,板楼,平层,0.5,有,周市,昆山,南北,2021.08.02,2021-05-13,3,满五年,172,168
2,107103725750,139.24,2,4,1,2,30,中楼层,钢混结构,未知,精装,板楼,平层,0.5,有,玲珑,工业园区,南,2021.08.02,2021-03-19,76,满五年,818,785
3,107104201587,89,1,3,1,1,26,高楼层,钢混结构,未知,精装,板楼,平层,0.25,有,盛泽,吴江,南,2021.08.02,2021-07-11,2,满两年,162,158
4,107103280232,60.87,1,1,1,1,21,低楼层,混合结构,未知,精装,塔楼,平层,0.4,有,周庄,昆山,南,2021.08.02,2020-11-12,5,满两年,39,38
5,107103314657,47.73,2,2,1,2,6,高楼层,钢混结构,未知,精装,板楼,复式,0.5714285714285714,有,北桥,相城,南,2021.08.02,2020-11-22,4,满两年,47,48
6,107104190424,124.4,2,3,1,2,20,高楼层,钢混结构,未知,简装,板楼,平层,0.6666666666666666,有,玲珑,工业园区,南北,2021.08.02,2021-07-08,31,满五年,699,690
7,107103985113,131.74,2,4,1,2,23,中楼层,混合结构,未知,毛坯,板楼,平层,0.5,有,白塘,工业园区,南,2021.08.02,2021-05-17,3,满五年,790,747
8,107103669843,335.2,2,5,2,5,28,高楼层,钢混结构,未知,毛坯,板塔结合,平层,2.0,有,太湖新城（吴江）,吴江,南西,2021.08.02,2021-03-07,10,满两年,1120,1120
9,107103977753,79,2,2,0,1,21,高楼层,钢混结构,未知,精装,板楼,平层,0.5,有,郭巷,吴中,南,2021.08.02,2021-05-15,70,暂无数据,180,175
10,107103707530,143.11,2,4,1,2,33,中楼层,钢混结构,未知,毛坯,板塔结合,平层,0.5,暂无数据,松陵,吴江,南,2021.08.02,2021-03-15,2,满两年,299,296
11,107103990965,139.65,2,4,1,2,10,高楼层,钢混结构,未知,精装,板楼,复式,0.5,有,独墅湖高教区,工业园区,南,2021.08.02,2021-05-19,18,满两年,603,565
12,107103873224,103.29,2,3,1,1,18,低楼层,钢混结构,未知,精装,板楼,平层,0.6666666666666666,有,湖东,工业园区,南,2021.08.02,2021-04-19,28,满两年,489,493
13,107103760910,89,1,2,1,1,5,中楼层,砖混结构,未知,毛坯,板塔结合,平层,0.5,暂无数据,锦丰,张家港,南,2021.08.02,2021-03-25,0,暂无数据,76,74
14,107103971316,98,1,2,1,1,18,中楼层,钢混结构,未知,毛坯,板楼,平层,1.0,有,唯亭,工业园区,南,2021.08.02,2021-05-13,14,满五年,195,192
15,107104117714,89.75,2,3,1,1,25,高楼层,框架结构,未知,精装,板楼,平层,0.5,有,木渎,吴中,南,2021.08.02,2021-06-19,2,满两年,195,187
16,107104183719,124.7,2,2,1,1,29,低楼层,钢混结构,未知,精装,板塔结合,平层,2.5,有,玉山城南,昆山,南北,2021.08.02,2021-07-06,1,满两年,353,348
17,107103606587,40.72,1,2,1,1,18,中楼层,钢混结构,未知,精装,塔楼,平层,0.4,有,太湖新城（吴江）,吴江,南,2021.08.02,2021-02-22,24,满五年,104,100
18,107103743057,94.25,2,2,1,1,22,低楼层,钢混结构,未知,精装,板塔结合,平层,0.6666666666666666,有,湖东,工业园区,南,2021.08.02,2021-03-22,24,满五年,310,300
19,107103289837,129.39,2,3,1,2,6,低楼层,未知结构,未知,毛坯,暂无数据,平层,0.5,无,蓬朗（开发区）,昆山,南,2021.08.02,2020-11-15,10,满五年,182,180
