,Id,square,livingRoom,bedRoom,Kitchen,bathroom,totalFloor,floor,buildingStructure,builtYear,renovationCondition,buildingType,houseStructure,stairsHouseRatio,hasElevator,secondaryDistrict,primaryDistrict,orientation,tradeTime,daysOnMarket,follower,ageProperty,listPrice,transactionPrice
0,107103085565,62.73,2,2,1,1,5,高楼层,砖混结构,未知,精装,板楼,平层,0.5,无,玉山城北,昆山,东南南,2021.08.13,2020-09-20,52,满五年,105,101
1,107104146615,69.62,1,2,1,1,33,高楼层,钢混结构,未知,精装,板楼,平层,0.25,有,金阊新城,姑苏,南,2021.08.13,2021-06-27,34,暂无数据,149,145
2,107103616827,94.8,1,3,1,1,16,低楼层,钢混结构,未知,精装,板楼,平层,0.6666666666666666,有,城南,吴中,南,2021.08.13,2021-02-24,24,满五年,217,211
3,107103775970,110.77,2,3,1,1,29,高楼层,未知结构,未知,精装,暂无数据,平层,0.3333333333333333,暂无数据,汾湖,吴江,南北,2021.08.13,2021-03-28,1,满两年,202,200
4,107103765972,106.33,2,3,1,1,11,低楼层,混合结构,未知,精装,板楼,平层,0.5,有,东沙湖,工业园区,南,2021.08.12,2021-03-25,22,满两年,620,582
5,107104147544,145.08,2,3,1,2,11,中楼层,砖混结构,未知,毛坯,板塔结合,平层,0.5,有,金港,张家港,南,2021.08.12,2021-06-27,1,满两年,126,121
6,107103957366,106.01,2,3,1,1,18,低楼层,钢混结构,未知,精装,塔楼,平层,0.6666666666666666,有,玉山老城区,昆山,南,2021.08.12,2021-05-10,5,满五年,208,203
7,107104296604,246.91,3,5,1,3,4,低楼层,钢混结构,未知,精装,板楼,复式,1.0,暂无数据,城南,吴中,南北,2021.08.12,2021-08-07,2,满五年,820,815
8,107103481322,52,1,2,1,1,6,低楼层,混合结构,未知,精装,板楼,平层,0.5,无,郭巷,吴中,南,2021.08.12,2021-01-08,71,满五年,141,138
9,107104049027,45.45,1,1,1,1,6,中楼层,混合结构,未知,简装,板楼,平层,0.5,无,葑门,姑苏,南,2021.08.12,2021-06-03,41,满两年,107,104
10,107104256746,72.08,1,3,1,1,6,低楼层,钢混结构,未知,精装,板楼,平层,0.5,无,龙西,吴中,南,2021.08.12,2021-07-27,3,满五年,165,161
11,107102049905,102.88,2,3,1,1,5,中楼层,钢混结构,未知,精装,板楼,平层,4.0,有,东环,工业园区,南,2021.08.12,2019-12-07,18,满五年,415,395
12,107103796316,31.57,1,2,1,1,18,高楼层,钢混结构,未知,精装,板楼,复式,0.8888888888888888,有,元和,相城,南,2021.08.12,2021-04-01,1,满两年,51,51
13,107104238491,161.56,2,4,1,3,25,低楼层,钢混结构,未知,精装,板楼,平层,1.0,有,松陵,吴江,南,2021.08.12,2021-07-21,3,暂无数据,400,395
14,107104294779,85,2,2,1,1,5,中楼层,钢混结构,未知,毛坯,板楼,平层,0.5,无,锦丰,张家港,南,2021.08.12,2021-08-06,0,暂无数据,73,73
15,107104066315,87.38,2,3,1,1,16,高楼层,钢混结构,未知,精装,板塔结合,平层,0.5,有,元和,相城,南,2021.08.12,2021-06-06,54,满五年,232,224
16,107102792933,110.18,2,3,1,1,34,低楼层,钢混结构,未知,精装,板楼,平层,0.6666666666666666,有,蓬朗（开发区）,昆山,南,2021.08.12,2020-07-11,38,满两年,172,170
17,107103381296,140.74,2,3,1,2,7,中楼层,钢混结构,未知,精装,板楼,平层,1.0,无,玉山老城区,昆山,南,2021.08.12,2020-12-10,7,满五年,255,247
18,107102313582,126.76,2,3,1,2,25,高楼层,钢混结构,未知,精装,板楼,平层,0.3333333333333333,有,湖东,工业园区,南,2021.08.12,2020-03-29,89,满五年,599,585
19,107103622464,91.01,2,2,1,1,11,中楼层,砖混结构,未知,毛坯,板楼,平层,0.5,有,陆家,昆山,南,2021.08.12,2021-02-25,5,满五年,150,150
20,107104207730,77.04,2,2,1,1,6,高楼层,钢混结构,未知,精装,板楼,平层,0.5,无,张浦,昆山,南,2021.08.12,2021-07-12,2,满两年,94,93
21,107103790114,325,2,5,1,4,3,低楼层,未知结构,未知,毛坯,暂无数据,复式,0.16666666666666666,暂无数据,城中心,张家港,南,2021.08.12,2021-03-31,1,满五年,533,520
22,107102852327,88.82,1,2,1,1,33,中楼层,钢混结构,未知,精装,板楼,平层,1.0,有,太湖新城（吴江）,吴江,南,2021.08.12,2020-07-25,14,满两年,219,215
23,107104130974,138.86,2,3,1,2,28,低楼层,混合结构,未知,精装,板塔结合,平层,0.6666666666666666,有,开发区,昆山,南,2021.08.12,2021-06-23,10,满五年,265,254
