,Id,square,livingRoom,bedRoom,Kitchen,bathroom,totalFloor,floor,buildingStructure,builtYear,renovationCondition,buildingType,houseStructure,stairsHouseRatio,hasElevator,secondaryDistrict,primaryDistrict,orientation,tradeTime,daysOnMarket,follower,ageProperty,listPrice,transactionPrice
0,107104053166,89.83,2,3,1,1,26,高楼层,钢混结构,未知,精装,板楼,平层,0.5,有,城南,吴中,南,2021.08.08,2021-06-04,6,满五年,218,214
1,107103991167,50.61,1,2,1,1,6,高楼层,钢混结构,未知,精装,板楼,平层,0.3333333333333333,无,留园西园,姑苏,南,2021.08.08,2021-05-19,24,满五年,109,107
2,107104288566,89.36,2,2,1,1,5,中楼层,钢混结构,未知,精装,板楼,平层,0.5,无,玉山城西,昆山,南,2021.08.08,2021-08-05,0,满五年,165,160
3,107104091837,108.35,2,3,1,1,11,中楼层,混合结构,未知,精装,板楼,平层,0.5,有,东沙湖,工业园区,南,2021.08.08,2021-06-12,27,满两年,625,605
4,107104304777,430,2,5,1,3,3,低楼层,钢混结构,未知,其他,板楼,暂无数据,0.5,暂无数据,沙溪,太仓,南,2021.08.08,2021-08-08,0,暂无数据,380,380
5,107101992361,108.55,2,3,1,1,23,低楼层,钢混结构,未知,精装,板塔结合,平层,0.6666666666666666,有,东沙湖,工业园区,南,2021.08.08,2019-11-18,31,满两年,459,442
6,107103900106,61.96,1,2,1,1,29,低楼层,钢混结构,未知,精装,板楼,平层,0.5714285714285714,有,玲珑,工业园区,南北,2021.08.08,2021-04-25,10,满五年,376,373
7,107103988293,137.63,2,4,1,2,6,低楼层,钢混结构,未知,简装,板楼,暂无数据,0.5,无,玉山城北,昆山,南,2021.08.08,2021-05-18,0,暂无数据,310,295
8,107104090250,86.18,2,2,1,1,33,中楼层,框架结构,未知,简装,板楼,平层,0.5,有,花桥,昆山,南,2021.08.08,2021-06-12,1,满两年,162,159
9,107103402420,35.58,1,1,1,1,25,低楼层,钢混结构,未知,精装,塔楼,平层,0.8,有,玉山城北,昆山,北,2021.08.08,2020-12-16,5,暂无数据,61,59
10,107104133565,120.03,2,4,1,2,18,中楼层,钢混结构,未知,毛坯,板楼,暂无数据,0.5,有,千灯,昆山,南,2021.08.08,2021-06-23,2,满两年,176,176
11,107104270402,142.53,2,4,1,2,25,中楼层,钢混结构,未知,精装,板塔结合,平层,0.3333333333333333,有,湖东,工业园区,南,2021.08.08,2021-07-31,9,满五年,769,751
12,107104109247,115,2,3,1,1,27,高楼层,钢混结构,未知,精装,板塔结合,暂无数据,0.5,有,巴城,昆山,南,2021.08.08,2021-06-17,0,满两年,172,166
13,107104037207,94.63,2,3,1,2,27,高楼层,钢混结构,未知,毛坯,板塔结合,平层,0.4,有,花桥,昆山,南北,2021.08.08,2021-05-31,4,暂无数据,238,233
14,107104275266,82.74,1,2,1,1,6,中楼层,钢混结构,未知,简装,板塔结合,平层,0.5,无,花桥,昆山,南北,2021.08.08,2021-08-01,4,满五年,148,145
15,107104211194,51.1,1,1,1,1,18,低楼层,钢混结构,未知,精装,板楼,平层,0.3333333333333333,有,周市,昆山,南,2021.08.08,2021-07-14,1,满两年,94,75
16,107103864281,54.3,1,1,1,1,25,高楼层,钢混结构,未知,精装,塔楼,平层,0.8,有,玉山城北,昆山,北,2021.08.08,2021-04-17,12,满两年,88,87
17,107103932260,151.69,2,5,1,2,18,低楼层,钢混结构,未知,精装,板楼,平层,0.6666666666666666,有,元和,相城,南北,2021.08.08,2021-05-04,16,满五年,345,340
18,107104189785,128.96,2,3,1,2,16,中楼层,钢混结构,未知,精装,板塔结合,平层,1.0,有,周市,昆山,南北,2021.08.08,2021-07-08,5,满五年,309,302
19,107104155199,58.78,1,1,1,1,18,中楼层,钢混结构,未知,精装,板塔结合,平层,0.6666666666666666,有,花桥,昆山,南,2021.08.08,2021-06-29,12,满五年,116,113
20,107103235355,57.66,1,1,1,1,18,中楼层,钢混结构,未知,精装,板塔结合,平层,0.6666666666666666,有,花桥,昆山,南北,2021.08.08,2020-10-31,44,满五年,114,114
21,107104289817,149.29,2,4,2,2,6,高楼层,砖混结构,未知,精装,板塔结合,复式,0.5,无,花桥,昆山,南,2021.08.08,2021-08-05,1,满五年,180,174
22,107104065227,131.25,2,3,1,2,12,高楼层,钢混结构,未知,精装,板楼,平层,1.0,有,玉山城北,昆山,南,2021.08.08,2021-06-06,7,满两年,299,299
23,107104252401,85.68,2,3,1,1,34,低楼层,钢混结构,未知,精装,板塔结合,平层,0.3333333333333333,有,花桥,昆山,南北,2021.08.08,2021-07-25,7,满两年,190,189
24,107103980098,60.05,1,2,1,1,25,高楼层,钢混结构,未知,毛坯,板楼,平层,0.375,有,金阊新城,姑苏,南,2021.08.08,2021-05-16,13,满五年,123,118
25,107103612669,39.37,1,1,1,1,16,高楼层,钢混结构,未知,精装,板楼,平层,0.2,有,郭巷,吴中,南,2021.08.08,2021-02-23,23,满两年,107,104
26,107103867518,81.57,2,2,1,1,18,中楼层,钢混结构,未知,精装,板楼,平层,0.5,有,郭巷,吴中,南,2021.08.08,2021-04-18,9,满两年,213,209
27,107104205964,61.18,1,2,1,1,6,高楼层,砖混结构,未知,精装,板楼,平层,0.5,无,金门,姑苏,南,2021.08.08,2021-07-12,29,满五年,140,137
28,107103541222,73.8,2,2,1,1,16,低楼层,钢混结构,未知,精装,板楼,平层,0.3333333333333333,有,玉山高新区,昆山,南北,2021.08.08,2021-01-25,21,满两年,132,129
29,107103872160,77.88,1,2,1,1,33,低楼层,钢混结构,未知,精装,板楼,平层,0.5,有,金阊新城,姑苏,南,2021.08.08,2021-04-19,10,暂无数据,158,153
