,Id,square,livingRoom,bedRoom,Kitchen,bathroom,totalFloor,floor,buildingStructure,builtYear,renovationCondition,buildingType,houseStructure,stairsHouseRatio,hasElevator,secondaryDistrict,primaryDistrict,orientation,tradeTime,daysOnMarket,follower,ageProperty,listPrice,transactionPrice
0,107103687573,53.95,1,2,1,1,5,中楼层,混合结构,未知,简装,板楼,暂无数据,0.5,无,胥江,姑苏,南,2021.08.21,2021-03-11,15,满五年,127,126
1,107104317335,72.11,1,2,1,1,25,高楼层,钢混结构,未知,精装,板楼,暂无数据,0.5,有,元和,相城,南,2021.08.21,2021-08-12,5,暂无数据,150,141
2,107104034211,90.79,2,3,1,1,20,低楼层,钢混结构,未知,精装,板楼,平层,0.5,有,花桥,昆山,南北,2021.08.21,2021-05-30,29,满五年,202,198
3,107104065436,73.76,1,3,1,1,3,低楼层,未知结构,未知,精装,暂无数据,平层,0.5,暂无数据,市区,常熟,南北,2021.08.21,2021-06-06,0,满五年,186,182
4,107103685675,102.85,2,3,1,1,33,中楼层,钢混结构,未知,毛坯,板楼,平层,0.5,有,郭巷,吴中,南,2021.08.21,2021-03-10,0,满两年,290,283
5,107102441839,129.77,2,4,1,2,9,高楼层,砖混结构,未知,简装,板塔结合,平层,1.0,有,湖东,工业园区,南,2021.08.21,2020-04-25,41,满两年,678,659
6,107104046049,46.21,1,1,1,1,33,高楼层,钢混结构,未知,精装,板楼,平层,1.5,有,尹山湖,吴中,南,2021.08.21,2021-06-02,12,暂无数据,91,86
7,107104171468,104.09,1,2,1,1,18,高楼层,钢混结构,未知,精装,板楼,平层,0.6666666666666666,有,湖西CBD,工业园区,南,2021.08.21,2021-07-03,4,满两年,748,726
8,107104112934,102.36,2,3,1,2,33,低楼层,钢混结构,未知,精装,板塔结合,平层,0.25,有,花桥,昆山,南北,2021.08.21,2021-06-18,6,满两年,205,188
9,107103905723,82.46,1,2,1,1,5,高楼层,钢混结构,未知,毛坯,板楼,平层,0.5,无,望亭,相城,南,2021.08.21,2021-04-27,16,暂无数据,100,97
10,107104304325,87.36,2,3,1,1,33,中楼层,钢混结构,未知,精装,塔楼,平层,0.25,有,花桥,昆山,南,2021.08.21,2021-08-08,15,暂无数据,205,199
11,107104330636,40.92,1,1,1,1,15,低楼层,钢混结构,未知,简装,板塔结合,暂无数据,0.25,有,花桥,昆山,西北,2021.08.21,2021-08-15,2,满五年,42,42
12,107104111680,85.2,1,1,1,1,30,高楼层,钢混结构,未知,精装,塔楼,平层,1.3333333333333333,有,独墅湖高教区,工业园区,西南,2021.08.21,2021-06-18,26,暂无数据,303,296
13,107104090027,103.73,2,3,1,2,31,低楼层,钢混结构,未知,精装,塔楼,平层,0.5,有,元和,相城,南北,2021.08.21,2021-06-12,16,满两年,260,250
14,107104285732,43.76,2,2,1,1,16,中楼层,钢混结构,未知,简装,塔楼,复式,0.5,有,城南,吴中,北,2021.08.21,2021-08-04,8,满两年,54,51
15,107104185423,73.03,2,3,1,1,5,中楼层,混合结构,未知,精装,板楼,平层,0.5,无,苏苑,吴中,南,2021.08.21,2021-07-07,1,满两年,176,175
16,107104136304,52.55,1,2,1,1,7,高楼层,混合结构,未知,简装,板楼,平层,0.3333333333333333,无,金门,姑苏,南,2021.08.21,2021-06-24,2,满五年,122,120
17,107104346635,103.63,2,2,1,1,27,高楼层,钢混结构,未知,精装,板塔结合,平层,0.2222222222222222,有,张家港城南,张家港,南北,2021.08.21,2021-08-19,0,满两年,88,87
18,107104064238,107.01,2,2,1,1,16,低楼层,混合结构,未知,精装,板塔结合,平层,0.5,有,虞山高新区,常熟,南北,2021.08.21,2021-06-06,1,暂无数据,110,107
19,107104296680,86.8,1,3,1,1,30,中楼层,钢混结构,未知,精装,塔楼,平层,0.4,有,花桥,昆山,南,2021.08.21,2021-08-07,0,满两年,195,194
20,107103787498,89.35,2,2,1,1,11,中楼层,钢混结构,未知,精装,板楼,平层,0.3333333333333333,有,张浦,昆山,南北,2021.08.21,2021-03-30,9,满五年,103,100
21,107104113210,87.8,1,2,1,1,6,低楼层,钢混结构,未知,简装,板楼,平层,0.5,无,玉山老城区,昆山,南,2021.08.21,2021-06-18,1,满五年,163,159
22,107103673396,34.94,1,1,1,1,18,中楼层,钢混结构,未知,精装,塔楼,平层,3.0,有,元和,相城,南,2021.08.21,2021-03-07,4,暂无数据,54,50
23,107104348173,110.99,2,3,1,2,16,高楼层,钢混结构,未知,其他,塔楼,平层,0.5,有,玉山老城区,昆山,南,2021.08.21,2021-08-19,0,暂无数据,230,230
24,107103369697,86.64,2,3,1,1,21,高楼层,钢混结构,未知,毛坯,板楼,平层,0.25,有,松陵,吴江,南,2021.08.20,2020-12-07,9,满两年,169,167
25,107104167152,89.61,2,3,1,1,34,高楼层,钢混结构,未知,精装,塔楼,平层,0.5,有,花桥,昆山,南,2021.08.20,2021-07-02,18,满两年,203,200
26,107104006878,90,1,2,1,1,30,高楼层,钢混结构,未知,简装,板塔结合,平层,0.5,有,花桥,昆山,南,2021.08.20,2021-05-23,27,满五年,194,189
27,107104239363,71.93,1,2,1,1,20,高楼层,钢混结构,未知,精装,板楼,平层,0.3333333333333333,有,青剑湖,工业园区,南,2021.08.20,2021-07-21,8,暂无数据,189,184
28,107103771265,111.48,2,4,1,2,26,中楼层,钢混结构,未知,精装,板楼,平层,0.6666666666666666,有,木渎,吴中,南,2021.08.20,2021-03-27,16,满五年,315,308
