,Id,square,livingRoom,bedRoom,Kitchen,bathroom,totalFloor,floor,buildingStructure,builtYear,renovationCondition,buildingType,houseStructure,stairsHouseRatio,hasElevator,secondaryDistrict,primaryDistrict,orientation,tradeTime,daysOnMarket,follower,ageProperty,listPrice,transactionPrice
0,107103775094,89,2,2,1,1,33,高楼层,钢混结构,未知,精装,板塔结合,平层,0.5,有,花桥,昆山,南,2021.08.10,2021-03-27,16,暂无数据,265,263
1,107102425103,140.84,2,4,1,2,18,中楼层,钢混结构,未知,毛坯,板塔结合,平层,1.0,有,斜塘,工业园区,北,2021.08.10,2020-04-22,43,满五年,480,479
2,107103694505,83.71,2,3,1,1,25,低楼层,钢混结构,未知,简装,板楼,暂无数据,0.5,有,郭巷,吴中,南北,2021.08.10,2021-03-12,16,满两年,198,195
3,107104177168,95.15,2,3,1,1,18,低楼层,钢混结构,未知,精装,板楼,平层,0.5,有,城南,吴中,南,2021.08.10,2021-07-04,26,满五年,215,214
4,107104206724,43,1,1,1,1,20,高楼层,钢混结构,未知,精装,塔楼,平层,0.16666666666666666,无,开发区,昆山,南,2021.08.10,2021-07-12,7,满五年,38,37
5,107103850347,98.24,2,3,1,1,22,高楼层,钢混结构,未知,精装,塔楼,平层,0.25,有,玉山老城区,昆山,南,2021.08.10,2021-04-14,7,满两年,203,196
6,107103622429,75.43,1,3,1,1,6,低楼层,钢混结构,未知,精装,平房,平层,0.5,无,狮山,高新,南,2021.08.10,2021-02-25,33,满两年,147,147
7,107103790922,45.4,1,2,0,2,22,高楼层,钢混结构,未知,精装,塔楼,平层,2.5,有,木渎,吴中,东北,2021.08.10,2021-03-31,0,满五年,58,57
8,107104072417,117.83,2,3,1,1,26,高楼层,钢混结构,未知,精装,板楼,平层,0.5,有,尹山湖,吴中,南北,2021.08.10,2021-06-07,16,满两年,329,320
9,107104180418,107.92,2,3,1,2,34,中楼层,钢混结构,未知,精装,板楼,平层,1.0,有,太湖新城（吴江）,吴江,南,2021.08.10,2021-07-05,3,暂无数据,289,285
10,107103835379,130.19,2,3,1,2,10,中楼层,钢混结构,未知,精装,塔楼,平层,0.5,有,湖西CBD,工业园区,南,2021.08.10,2021-04-11,67,满五年,588,612
11,107103206028,132.86,2,3,1,2,5,中楼层,钢混结构,未知,精装,板楼,平层,0.5,无,元和,相城,南,2021.08.10,2020-10-23,14,满五年,256,250
12,107104009588,82,2,2,1,1,31,中楼层,钢混结构,未知,简装,塔楼,平层,0.5,有,张浦,昆山,南北,2021.08.10,2021-05-23,3,满两年,121,120
13,107103720831,28.58,0,1,1,1,28,低楼层,钢混结构,未知,毛坯,板塔结合,平层,0.8333333333333334,有,平江新城,姑苏,南,2021.08.10,2021-03-18,1,满两年,40,40
14,107103940872,135,2,3,1,2,6,中楼层,未知结构,未知,精装,暂无数据,平层,0.5,暂无数据,金港,张家港,南,2021.08.10,2021-05-06,5,满五年,82,81
15,107104087154,50.28,1,1,1,1,5,中楼层,钢混结构,未知,精装,板楼,平层,0.5,无,城南,吴中,南,2021.08.10,2021-06-11,9,满两年,118,113
16,107103981359,45.82,1,2,1,1,4,低楼层,钢混结构,未知,精装,板楼,平层,0.5,无,桃花坞,姑苏,南西,2021.08.10,2021-05-16,146,满两年,115,115
17,107103944722,114.8,2,3,1,2,7,低楼层,钢混结构,未知,简装,板楼,平层,0.5,无,玉山老城区,昆山,南,2021.08.10,2021-05-07,6,满五年,170,169
18,107104178806,123,2,4,1,2,30,中楼层,钢混结构,未知,毛坯,板楼,平层,0.5,有,高铁新城,相城,南,2021.08.10,2021-07-04,5,暂无数据,360,366
19,107103014312,49,1,2,1,1,20,中楼层,钢混结构,未知,毛坯,板楼,复式,0.5,有,元和,相城,北,2021.08.10,2020-09-03,25,满两年,62,60
20,107104086592,141.68,2,3,1,2,12,中楼层,钢混结构,未知,精装,板楼,平层,0.5,有,独墅湖高教区,工业园区,南北,2021.08.10,2021-06-11,15,满两年,840,834
21,107103170540,199.22,3,5,1,3,5,高楼层,钢混结构,未知,简装,板楼,复式,0.5,无,渭塘,相城,南,2021.08.10,2020-10-13,4,暂无数据,170,165
22,107103840040,113.18,2,3,1,1,16,中楼层,砖混结构,未知,精装,板楼,平层,0.5,有,留园西园,姑苏,南,2021.08.10,2021-04-12,10,满五年,245,234
23,107104191609,54.3,1,1,1,1,33,低楼层,钢混结构,未知,精装,板楼,平层,0.5,有,花桥,昆山,西,2021.08.10,2021-07-08,10,满五年,69,77
24,107103127058,50.16,2,2,1,2,6,中楼层,钢混结构,未知,精装,板塔结合,复式,1.2,有,花桥,昆山,南,2021.08.10,2020-10-02,13,满两年,62,62
25,107104266862,261.44,3,5,1,4,3,低楼层,钢混结构,未知,毛坯,板塔结合,复式,1.0,无,双湖,工业园区,南北,2021.08.10,2021-07-30,4,满五年,1900,1846
26,107104075411,108,2,3,1,2,6,高楼层,未知结构,未知,简装,暂无数据,复式,0.5,无,淀山湖,昆山,南,2021.08.10,2021-06-08,2,暂无数据,122,119
27,107103991045,90.76,2,3,1,1,9,中楼层,钢混结构,未知,毛坯,板楼,平层,1.5,有,巴城,昆山,南北,2021.08.10,2021-05-19,0,满两年,183,175
28,107103792048,94,2,2,1,1,19,中楼层,未知结构,未知,精装,塔楼,平层,0.5,有,千灯,昆山,南,2021.08.10,2021-03-31,3,暂无数据,142,139
29,107104185039,139.24,2,4,1,2,30,高楼层,钢混结构,未知,精装,板楼,平层,0.5,有,玲珑,工业园区,南北,2021.08.10,2021-07-07,30,满五年,810,797
