,Id,square,livingRoom,bedRoom,Kitchen,bathroom,totalFloor,floor,buildingStructure,builtYear,renovationCondition,buildingType,houseStructure,stairsHouseRatio,hasElevator,secondaryDistrict,primaryDistrict,orientation,tradeTime,daysOnMarket,follower,ageProperty,listPrice,transactionPrice
0,107104042378,142.75,2,3,1,2,18,低楼层,钢混结构,未知,精装,板楼,平层,0.5,暂无数据,周市,昆山,南北,2021.08.03,2021-06-01,2,满两年,260,244
1,107103609566,62.92,2,2,1,1,14,中楼层,钢混结构,未知,精装,板塔结合,暂无数据,0.5,有,木渎,吴中,南,2021.08.03,2021-02-22,5,暂无数据,103,98
2,107104019284,232,4,7,1,4,11,高楼层,钢混结构,未知,精装,板楼,平层,1.0,有,松陵,吴江,南北,2021.08.03,2021-05-26,9,满五年,243,226
3,107103853708,44.91,1,1,1,1,6,高楼层,钢混结构,未知,简装,暂无数据,平层,0.16666666666666666,无,张浦,昆山,南,2021.08.03,2021-04-15,7,满五年,48,48
4,107104084093,77.17,2,2,1,1,34,中楼层,钢混结构,未知,精装,板塔结合,平层,0.5,有,花桥,昆山,南,2021.08.03,2021-06-10,10,满五年,180,180
5,107104123645,73.73,2,2,1,1,27,高楼层,钢混结构,未知,简装,板塔结合,平层,0.16666666666666666,有,陆家,昆山,南,2021.08.03,2021-06-20,7,满两年,114,113
6,107104226599,99.21,2,3,1,1,18,中楼层,钢混结构,未知,精装,塔楼,平层,0.6666666666666666,有,千灯,昆山,南,2021.08.03,2021-07-17,3,满五年,127,126
7,107104269352,35.53,1,1,1,1,18,低楼层,钢混结构,未知,精装,塔楼,平层,0.3333333333333333,有,胥江,姑苏,南,2021.08.03,2021-07-31,12,暂无数据,85,85
8,107104182524,112.73,1,3,1,1,33,中楼层,钢混结构,未知,简装,板楼,平层,1.0,有,玉山城西,昆山,南北,2021.08.03,2021-07-06,0,满两年,178,178
9,107103971829,56.91,1,1,1,1,18,高楼层,钢混结构,未知,精装,塔楼,平层,0.125,暂无数据,千灯,昆山,南,2021.08.03,2021-05-14,3,满五年,72,71
10,107104174450,109.85,1,3,1,1,30,中楼层,钢混结构,未知,精装,板塔结合,平层,0.5,有,白塘,工业园区,南北,2021.08.03,2021-07-04,4,满五年,630,600
