,Id,square,livingRoom,bedRoom,Kitchen,bathroom,totalFloor,floor,buildingStructure,builtYear,renovationCondition,buildingType,houseStructure,stairsHouseRatio,hasElevator,secondaryDistrict,primaryDistrict,orientation,tradeTime,daysOnMarket,follower,ageProperty,listPrice,transactionPrice
0,107104009962,104.02,2,3,1,1,17,低楼层,钢混结构,未知,精装,板塔结合,平层,1.0,有,城厢,太仓,南,2021.08.13,2021-05-24,27,满两年,158,154
1,107104237416,60.59,1,1,1,1,10,高楼层,未知结构,未知,精装,板塔结合,平层,0.2,有,张浦,昆山,南北,2021.08.13,2021-07-20,1,满两年,79,77
2,107103760072,276,2,5,1,2,7,高楼层,钢混结构,未知,精装,暂无数据,复式,0.5,无,金港,张家港,南,2021.08.13,2021-03-25,4,暂无数据,130,126
3,107104207508,124.13,2,3,1,2,5,中楼层,钢混结构,未知,精装,板楼,平层,0.5,无,巴城,昆山,南,2021.08.13,2021-07-12,2,满五年,320,314
4,107103881629,37,1,2,1,1,5,中楼层,未知结构,未知,精装,暂无数据,复式,1.0,暂无数据,木渎,吴中,东,2021.08.13,2021-04-22,66,暂无数据,55,50
5,107103248586,96.1,2,3,1,1,16,高楼层,钢混结构,未知,精装,板楼,平层,0.3333333333333333,有,巴城,昆山,南北,2021.08.13,2020-11-03,3,暂无数据,182,180
6,107104190765,77.92,1,2,1,1,11,高楼层,未知结构,未知,精装,暂无数据,平层,0.3333333333333333,暂无数据,东南,常熟,南,2021.08.13,2021-07-08,5,满两年,117,114
7,107103963895,120.88,2,3,1,2,5,中楼层,砖混结构,未知,精装,板塔结合,平层,0.5,无,枫桥,高新,南,2021.08.13,2021-05-12,13,满五年,305,292
8,107103844671,56.29,1,2,1,1,6,高楼层,砖混结构,未知,简装,板楼,平层,0.3333333333333333,无,南门,姑苏,南,2021.08.13,2021-04-13,23,满五年,116,113
9,107103269788,83.25,2,2,1,1,31,中楼层,钢混结构,未知,精装,板楼,平层,0.5,有,尹山湖,吴中,南,2021.08.13,2020-11-09,15,满两年,239,234
10,107104106971,129.63,2,3,1,2,32,低楼层,框架结构,未知,精装,板塔结合,平层,0.6666666666666666,有,白塘,工业园区,南,2021.08.13,2021-06-16,29,满五年,535,528
11,107104238302,37.85,1,1,1,1,14,中楼层,钢混结构,未知,精装,板塔结合,平层,0.8,有,木渎,吴中,北,2021.08.13,2021-07-21,0,满五年,32,32
12,107103478350,164.76,2,4,1,2,17,高楼层,钢混结构,未知,精装,板塔结合,平层,1.0,有,太湖新城（吴江）,吴江,南北,2021.08.13,2021-01-08,4,满五年,285,277
13,107104222515,68,2,2,1,2,19,中楼层,钢混结构,未知,精装,板楼,平层,0.5714285714285714,有,狮山,高新,南,2021.08.13,2021-07-17,0,满五年,78,73
14,107104289450,103,2,3,1,2,18,中楼层,钢混结构,未知,精装,塔楼,暂无数据,0.25,有,张浦,昆山,南北,2021.08.13,2021-08-05,0,暂无数据,178,175
15,107104004219,95.81,2,2,1,1,4,低楼层,钢混结构,未知,精装,板楼,平层,0.5,无,跨塘,工业园区,南,2021.08.13,2021-05-22,2,暂无数据,230,226
16,107104104183,92.6,2,3,1,1,34,高楼层,钢混结构,未知,毛坯,板塔结合,平层,0.5,有,开发区,昆山,南,2021.08.13,2021-06-16,6,暂无数据,208,208
17,107104270696,84.64,2,2,1,1,6,中楼层,混合结构,未知,精装,板楼,平层,0.5,无,元和,相城,南,2021.08.13,2021-07-31,3,满两年,184,180
18,107103728221,107.69,2,3,1,1,28,低楼层,钢混结构,未知,毛坯,板楼,平层,0.5,有,郭巷,吴中,南,2021.08.13,2021-03-19,17,满两年,257,253
19,107103013946,81.96,2,2,1,1,17,低楼层,钢混结构,未知,简装,塔楼,平层,0.5,有,张浦,昆山,南北,2021.08.13,2020-09-03,26,满五年,105,103
20,107104305732,207.05,2,4,1,2,4,低楼层,钢混结构,未知,毛坯,板楼,暂无数据,0.125,有,南双湖,吴中,南北,2021.08.13,2021-08-09,2,满两年,680,666
21,107104143556,101.27,2,2,1,1,37,低楼层,钢混结构,未知,精装,板楼,平层,0.5,有,玉山城南,昆山,南,2021.08.13,2021-06-26,12,满五年,145,143
22,107104012653,110.5,2,3,1,2,18,高楼层,钢混结构,未知,毛坯,板楼,平层,0.5,有,元和,相城,南,2021.08.13,2021-05-24,4,满两年,257,248
23,107103872349,102.02,1,2,1,1,6,中楼层,钢混结构,未知,精装,板楼,平层,0.5,无,太平,相城,南北,2021.08.13,2021-04-19,7,暂无数据,153,152
24,107103607037,99.63,2,3,1,2,18,低楼层,钢混结构,未知,精装,板楼,平层,0.6666666666666666,有,元和,相城,南,2021.08.13,2021-02-22,17,满两年,256,254
25,107104004104,89.39,1,3,1,1,18,中楼层,钢混结构,未知,精装,板楼,平层,0.5,有,玉山高新区,昆山,南,2021.08.13,2021-05-22,1,满五年,155,154
26,107103897412,131.67,2,4,1,2,24,低楼层,钢混结构,未知,精装,板楼,复式,0.6666666666666666,有,元和,相城,南北,2021.08.13,2021-04-25,10,满五年,385,360
27,107104103128,46.4,1,2,1,1,6,高楼层,混合结构,未知,简装,板塔结合,平层,0.3333333333333333,无,苏苑,吴中,南,2021.08.13,2021-06-15,14,暂无数据,99,95
28,107103990857,95.33,2,3,1,1,18,高楼层,钢混结构,未知,毛坯,板楼,平层,0.5,有,浒关,高新,南,2021.08.13,2021-05-19,9,满两年,228,218
29,107102756820,49.85,1,1,1,1,11,中楼层,钢混结构,未知,精装,板楼,平层,0.25,有,香山,吴中,南,2021.08.13,2020-07-03,13,满五年,90,88
