,Id,square,livingRoom,bedRoom,Kitchen,bathroom,totalFloor,floor,buildingStructure,builtYear,renovationCondition,buildingType,houseStructure,stairsHouseRatio,hasElevator,secondaryDistrict,primaryDistrict,orientation,tradeTime,daysOnMarket,follower,ageProperty,listPrice,transactionPrice
0,107102227898,140.32,2,4,1,2,25,中楼层,钢混结构,未知,简装,塔楼,平层,0.6666666666666666,有,元和,相城,南北,2021.08.06,2020-03-08,4,满五年,289,266
1,107103712431,68,2,2,1,2,25,中楼层,混合结构,未知,精装,塔楼,复式,0.2,有,玉山老城区,昆山,南,2021.08.06,2021-03-16,5,暂无数据,106,105
2,107103811465,46,1,1,1,1,25,高楼层,钢混结构,未知,精装,塔楼,平层,0.8571428571428571,有,高铁新城,相城,北,2021.08.06,2021-04-05,3,满两年,60,57
3,107104239854,87.8,2,2,1,1,33,高楼层,钢混结构,未知,精装,塔楼,平层,0.25,有,玉山老城区,昆山,南,2021.08.06,2021-07-21,2,满两年,189,188
4,107104184964,68.43,2,3,1,2,3,低楼层,钢混结构,未知,简装,板楼,复式,0.5,无,金门,姑苏,南北,2021.08.06,2021-07-06,13,满五年,209,202
5,107104074088,76.08,2,2,1,1,18,低楼层,钢混结构,未知,简装,板楼,平层,0.5,有,元和,相城,南,2021.08.06,2021-06-08,15,满两年,162,156
6,107103983209,85.67,2,3,1,1,34,低楼层,钢混结构,未知,精装,板塔结合,平层,0.14285714285714285,有,花桥,昆山,南,2021.08.06,2021-05-16,2,满两年,179,179
7,107103083110,211.38,2,4,1,2,4,低楼层,钢混结构,未知,精装,板楼,复式,0.5,无,木渎,吴中,南北,2021.08.06,2020-09-20,1,满五年,390,350
8,107104135285,59.11,2,1,2,2,17,高楼层,钢混结构,未知,精装,板塔结合,复式,1.5,有,木渎,吴中,南,2021.08.06,2021-06-24,0,满两年,92,89
9,107103626642,40.15,1,1,1,1,4,中楼层,钢混结构,未知,精装,板楼,平层,1.0,有,观前街,姑苏,东,2021.08.06,2021-02-26,39,满五年,64,63
10,107103975759,139.97,2,3,1,2,5,中楼层,钢混结构,未知,精装,板塔结合,平层,0.5,暂无数据,锦丰,张家港,南,2021.08.06,2021-05-15,0,暂无数据,96,91
11,107104000754,86.42,2,2,1,1,6,低楼层,钢混结构,未知,精装,板塔结合,平层,0.5,无,周市,昆山,南北,2021.08.06,2021-05-21,6,满五年,178,175
12,107103836565,102.39,2,4,1,1,25,高楼层,钢混结构,未知,精装,塔楼,平层,0.5,有,太湖新城（吴江）,吴江,南西,2021.08.06,2021-04-11,14,满五年,190,187
13,107104263807,101.5,1,2,1,1,25,高楼层,钢混结构,未知,精装,板楼,平层,1.0,有,车坊,工业园区,南,2021.08.06,2021-07-29,2,满两年,236,229
14,107104193941,63.94,1,1,1,1,5,中楼层,钢混结构,未知,毛坯,暂无数据,平层,0.5,暂无数据,周庄,昆山,南,2021.08.06,2021-07-09,2,满五年,60,60
15,107103933395,89.73,2,3,1,1,34,高楼层,钢混结构,未知,精装,塔楼,平层,0.5,有,花桥,昆山,南北,2021.08.06,2021-05-04,83,满两年,200,192
16,107104100690,97.2,1,3,1,1,25,低楼层,钢混结构,未知,精装,塔楼,平层,0.6666666666666666,有,元和,相城,南,2021.08.06,2021-06-15,52,满五年,201,193
17,107103636475,111.81,1,4,1,1,4,高楼层,钢混结构,未知,精装,板楼,平层,0.5,无,唯亭,工业园区,南,2021.08.06,2021-02-28,13,满五年,230,220
18,107104285104,76.23,1,2,1,1,5,中楼层,钢混结构,未知,精装,板楼,平层,0.5,无,平江新城,相城,南,2021.08.06,2021-08-04,0,满两年,165,164
19,107101980702,46.34,1,2,1,1,18,高楼层,钢混结构,未知,毛坯,塔楼,暂无数据,1.0,有,枫桥,高新,北,2021.08.06,2019-11-15,4,暂无数据,56,56
20,107103963688,168.8,2,4,1,2,31,中楼层,钢混结构,未知,精装,板楼,平层,0.6666666666666666,有,玲珑,工业园区,南,2021.08.06,2021-05-11,46,满五年,1650,1618
21,107104091885,63.16,1,1,1,1,18,高楼层,钢混结构,未知,简装,板塔结合,平层,0.25,有,周市,昆山,南,2021.08.06,2021-06-12,9,满两年,85,82
22,107103983945,93.37,1,2,1,1,46,高楼层,钢混结构,未知,精装,板塔结合,平层,0.3333333333333333,有,湖东,工业园区,南,2021.08.06,2021-05-16,35,暂无数据,345,342
23,107104142559,87.96,1,3,1,1,41,高楼层,钢混结构,未知,精装,板塔结合,平层,0.42857142857142855,有,花桥,昆山,南,2021.08.06,2021-06-26,13,满两年,183,182
24,107103954684,132.33,2,4,1,2,18,低楼层,钢混结构,未知,精装,板塔结合,平层,1.0,有,南双湖,吴中,南北,2021.08.06,2021-05-09,36,暂无数据,348,341
25,107104234225,86.43,1,2,1,1,17,低楼层,钢混结构,未知,精装,板楼,平层,0.25,暂无数据,玉山城西,昆山,南北,2021.08.05,2021-07-19,0,满五年,160,156
26,107102470463,131.37,2,3,1,2,10,低楼层,钢混结构,未知,精装,板楼,平层,0.5,有,东环,工业园区,南,2021.08.05,2020-05-02,13,满五年,475,467
27,107104112526,105.73,2,3,1,1,34,低楼层,钢混结构,未知,简装,板塔结合,平层,0.5,有,太湖新城（吴中）,吴中,南,2021.08.05,2021-06-18,16,满两年,226,216
28,107103687357,60.64,1,2,1,1,6,高楼层,混合结构,未知,简装,板楼,平层,0.5,无,东环,工业园区,南北,2021.08.05,2021-03-11,5,满五年,208,203
