,Id,square,livingRoom,bedRoom,Kitchen,bathroom,totalFloor,floor,buildingStructure,builtYear,renovationCondition,buildingType,houseStructure,stairsHouseRatio,hasElevator,secondaryDistrict,primaryDistrict,orientation,tradeTime,daysOnMarket,follower,ageProperty,listPrice,transactionPrice
0,107102517904,86.29,2,2,1,1,25,高楼层,钢混结构,未知,毛坯,板楼,平层,0.5,有,千灯,昆山,南,2021.08.20,2020-05-11,5,暂无数据,115,111
1,107104274874,97.82,2,3,1,1,33,中楼层,钢混结构,未知,精装,塔楼,平层,0.25,有,玉山老城区,昆山,南,2021.08.20,2021-08-01,4,满五年,206,203
2,107104159182,110,2,4,1,2,9,低楼层,钢混结构,未知,精装,板塔结合,复式,0.25,有,花桥,昆山,南,2021.08.20,2021-06-30,12,满两年,293,287
3,107104156919,137.5,2,3,1,2,32,低楼层,钢混结构,未知,毛坯,板楼,平层,0.3333333333333333,有,文化片区,常熟,南北,2021.08.20,2021-06-30,0,暂无数据,298,276
4,107104002869,80.75,2,3,1,1,33,高楼层,钢混结构,未知,精装,板楼,平层,0.75,有,元和,相城,南,2021.08.20,2021-05-22,1,满五年,196,190
5,107104226374,123.82,2,4,1,2,25,中楼层,钢混结构,未知,毛坯,板楼,平层,0.5,有,狮山,高新,南,2021.08.20,2021-07-17,10,满两年,549,530
6,107104175045,121.8,2,3,1,2,5,中楼层,混合结构,未知,精装,板楼,错层,0.5,无,娄葑,工业园区,南,2021.08.20,2021-07-04,3,满五年,327,300
7,107103797125,89.6,2,2,1,1,26,中楼层,未知结构,未知,简装,板楼,平层,0.5,有,张浦,昆山,南,2021.08.20,2021-04-01,1,满两年,116,115
8,107103943022,43.3,1,1,1,1,27,高楼层,钢混结构,未知,简装,塔楼,平层,1.5,有,周市,昆山,北,2021.08.20,2021-05-06,0,满两年,42,40
9,107104188675,15,0,1,0,0,23,地下室,混合结构,未知,精装,板楼,平层,0.2,暂无数据,白塘,工业园区,北,2021.08.20,2021-07-08,1,满五年,32,33
10,107104326657,99,2,3,1,1,6,低楼层,钢混结构,未知,毛坯,塔楼,平层,0.5,无,开发区,昆山,南北,2021.08.19,2021-08-14,2,暂无数据,168,166
11,107104207878,87.23,2,3,1,1,32,高楼层,钢混结构,未知,精装,板楼,平层,0.5,有,尹山湖,吴中,南,2021.08.19,2021-07-12,12,满五年,225,216
12,107103866528,105.84,2,3,1,1,27,中楼层,砖混结构,未知,精装,板塔结合,平层,0.3333333333333333,有,湖东,工业园区,南北,2021.08.19,2021-04-18,44,满五年,505,494
13,107102637305,96.12,1,2,1,1,25,高楼层,钢混结构,未知,精装,板塔结合,平层,0.6666666666666666,有,湖东,工业园区,南北,2021.08.19,2020-06-06,10,满五年,288,277
14,107104244713,147.11,1,4,1,2,30,高楼层,钢混结构,未知,毛坯,塔楼,平层,1.0,有,枫桥,高新,南,2021.08.19,2021-07-23,8,暂无数据,331,327
15,107103955826,89.99,2,2,1,1,4,低楼层,钢混结构,未知,精装,板塔结合,平层,0.5,无,黄埭,相城,南,2021.08.19,2021-05-09,9,满两年,155,154
16,107103552129,89.73,2,3,1,1,30,高楼层,钢混结构,未知,精装,板楼,平层,0.5,有,城南,吴中,南,2021.08.19,2021-01-29,17,满五年,207,201
17,107103814127,62.04,2,2,1,1,4,高楼层,砖混结构,未知,精装,板楼,复式,0.5,无,车坊,工业园区,南,2021.08.19,2021-04-06,36,满两年,168,162
18,107104138232,88.83,2,3,1,1,32,中楼层,钢混结构,未知,简装,板楼,平层,0.5,有,浒墅关经济技术开发区,高新,南,2021.08.19,2021-06-25,5,满两年,195,192
19,107104278995,32.11,1,2,1,1,10,中楼层,钢混结构,未知,精装,塔楼,跃层,0.4,有,平江新城,姑苏,南,2021.08.19,2021-08-02,4,暂无数据,54,49
20,107103846492,121.07,2,3,1,2,32,中楼层,钢混结构,未知,毛坯,塔楼,平层,0.5,有,元和,相城,南,2021.08.19,2021-04-13,11,暂无数据,281,271
21,107103078882,80.25,2,2,1,1,6,中楼层,钢混结构,未知,精装,板楼,平层,0.5,无,太湖新城（吴江）,吴江,南,2021.08.19,2020-09-19,29,满五年,165,163
22,107104197561,143.44,2,4,1,2,8,中楼层,钢混结构,未知,精装,板塔结合,平层,0.5,有,湖东,工业园区,南,2021.08.19,2021-07-10,31,暂无数据,1088,1065
23,107103294424,89.97,1,2,1,1,11,低楼层,混合结构,未知,精装,板塔结合,平层,0.5,有,娄葑,工业园区,南,2021.08.19,2020-11-16,38,满两年,220,215
24,107104182077,133.82,1,3,1,2,2,低楼层,钢混结构,未知,毛坯,板塔结合,复式,1.0,暂无数据,城厢,太仓,南,2021.08.19,2021-07-05,9,满五年,240,235
25,107103737180,96,2,3,1,1,27,中楼层,钢混结构,未知,精装,板楼,平层,0.5,有,尹山湖,吴中,南,2021.08.19,2021-03-21,24,满两年,282,276
26,107103857870,65.8,1,2,1,1,6,高楼层,混合结构,未知,精装,板楼,平层,0.5,无,狮山,高新,南,2021.08.19,2021-04-16,25,满两年,199,195
27,107103785288,93,2,3,1,1,32,低楼层,钢混结构,未知,精装,板楼,平层,0.5,有,城东,张家港,南,2021.08.19,2021-03-30,2,暂无数据,173,166
28,107104260734,117.22,2,3,1,2,6,中楼层,钢混结构,未知,简装,暂无数据,平层,0.5,暂无数据,盛泽,吴江,南北,2021.08.19,2021-07-28,0,满五年,135,132
29,107104169564,67.45,2,2,0,1,4,中楼层,混合结构,未知,精装,板楼,平层,0.5,无,斜塘,工业园区,南北,2021.08.19,2021-07-02,11,满五年,182,180
