,Id,square,livingRoom,bedRoom,Kitchen,bathroom,totalFloor,floor,buildingStructure,builtYear,renovationCondition,buildingType,houseStructure,stairsHouseRatio,hasElevator,secondaryDistrict,primaryDistrict,orientation,tradeTime,daysOnMarket,follower,ageProperty,listPrice,transactionPrice
0,107104200859,102.25,2,2,1,1,12,中楼层,钢混结构,未知,精装,板塔结合,平层,0.5,有,周市,昆山,南北,2021.08.21,2021-07-11,3,满两年,213,206
1,107103672171,69.8,1,2,1,1,5,高楼层,混合结构,未知,精装,板楼,平层,0.5,无,浒墅关经济技术开发区,高新,南,2021.08.21,2021-03-07,20,满五年,140,138
2,107102878482,144.68,2,4,1,2,5,中楼层,混合结构,未知,精装,板楼,平层,0.5,无,横塘,高新,南,2021.08.21,2020-08-01,32,满五年,255,246
3,107103687809,90.53,2,2,1,1,11,中楼层,钢混结构,未知,毛坯,板楼,平层,0.5,有,越溪,吴中,南,2021.08.21,2021-03-11,33,满五年,177,170
4,107104118951,94.65,2,2,1,1,11,低楼层,未知结构,未知,简装,暂无数据,平层,0.5,暂无数据,张浦,昆山,南北,2021.08.21,2021-06-19,2,满两年,112,110
5,107103958997,81.35,2,2,1,1,10,中楼层,钢混结构,未知,精装,板楼,平层,0.25,有,张家港城南,张家港,南,2021.08.21,2021-05-10,3,满五年,103,100
6,107103448981,84.95,2,3,1,1,9,低楼层,钢混结构,未知,精装,板楼,平层,0.5,有,元和,相城,南北,2021.08.21,2020-12-30,18,满两年,226,222
7,107103659864,97.51,2,4,1,1,32,低楼层,钢混结构,未知,精装,塔楼,平层,0.3333333333333333,有,元和,相城,南,2021.08.21,2021-03-05,6,暂无数据,225,216
8,107103446103,72.37,2,2,1,1,33,中楼层,钢混结构,未知,毛坯,板楼,平层,0.3333333333333333,暂无数据,花桥,昆山,南北,2021.08.21,2020-12-29,7,暂无数据,195,193
9,107103697742,61.7,1,2,1,1,6,高楼层,砖混结构,未知,精装,板楼,平层,0.5,无,金门,姑苏,南,2021.08.21,2021-03-13,20,满两年,144,137
10,107104065234,89.2,2,2,1,1,6,中楼层,钢混结构,未知,精装,板楼,平层,0.5,无,张浦,昆山,南,2021.08.21,2021-06-06,11,满五年,118,116
11,107102904064,96.12,2,3,1,1,22,中楼层,钢混结构,未知,毛坯,板楼,平层,0.25,有,香山,吴中,南,2021.08.21,2020-08-07,51,暂无数据,145,141
12,107104148882,93.44,2,3,1,1,34,低楼层,钢混结构,未知,毛坯,板塔结合,复式,0.25,有,开发区,昆山,南,2021.08.21,2021-06-27,2,满五年,190,185
13,107103387659,77.85,2,2,1,1,12,低楼层,钢混结构,未知,精装,板塔结合,平层,0.3333333333333333,有,花桥,昆山,南,2021.08.21,2020-12-12,24,满五年,180,178
14,107103600243,53.22,1,2,1,1,6,高楼层,砖混结构,未知,精装,板塔结合,平层,0.5,无,留园西园,姑苏,南,2021.08.21,2021-02-21,6,满五年,129,125
15,107103839538,50.55,1,2,1,1,12,高楼层,钢混结构,未知,精装,板塔结合,复式,2.0,有,木渎,吴中,西,2021.08.21,2021-04-12,2,满五年,68,64
16,107104041206,88.14,2,2,1,1,33,高楼层,钢混结构,未知,毛坯,板塔结合,平层,0.6666666666666666,有,东沙湖,工业园区,南,2021.08.21,2021-06-01,13,满两年,350,340
17,107104151159,136.88,3,4,1,3,18,低楼层,钢混结构,未知,简装,板楼,复式,0.75,有,花桥,昆山,南,2021.08.21,2021-06-28,22,暂无数据,330,300
18,107104103050,117.14,2,3,1,2,6,高楼层,钢混结构,未知,精装,板楼,平层,0.5,无,玉山老城区,昆山,南北,2021.08.21,2021-06-15,7,满五年,325,317
19,107103979890,79,2,3,1,1,18,中楼层,钢混结构,未知,精装,塔楼,平层,0.5,有,太湖新城（吴江）,吴江,南,2021.08.21,2021-05-16,9,满五年,160,160
20,107103818249,64,2,2,1,1,26,低楼层,钢混结构,未知,简装,板塔结合,平层,0.16666666666666666,有,玉山城北,昆山,南北,2021.08.21,2021-04-07,8,满两年,100,100
21,107102974978,65.48,1,2,1,1,6,中楼层,混合结构,未知,精装,板楼,平层,0.5,无,胥江,姑苏,南北,2021.08.21,2020-08-24,30,暂无数据,154,152
22,107103562328,133.69,2,3,1,2,28,高楼层,钢混结构,未知,精装,板塔结合,平层,1.0,有,元和,相城,南,2021.08.21,2021-02-01,18,满两年,388,382
23,107104011387,69.48,2,2,1,1,31,中楼层,钢混结构,未知,精装,塔楼,平层,0.5,有,花桥,昆山,南,2021.08.21,2021-05-24,42,满两年,183,177
24,107104009953,88,2,3,1,1,30,高楼层,钢混结构,未知,精装,塔楼,平层,0.5,有,花桥,昆山,南北,2021.08.21,2021-05-24,26,满两年,197,190
25,107104275091,43.28,0,3,1,1,13,中楼层,钢混结构,未知,精装,板塔结合,复式,0.6666666666666666,有,木渎,吴中,南,2021.08.21,2021-08-01,3,满五年,63,61
26,107104348045,46.52,1,2,1,1,5,中楼层,钢混结构,未知,简装,板塔结合,平层,0.5,无,苏苑,吴中,南,2021.08.21,2021-08-19,5,暂无数据,118,109
27,107103778474,88.16,2,3,1,1,26,高楼层,钢混结构,未知,毛坯,板楼,平层,0.25,有,浒关,高新,南,2021.08.21,2021-03-28,20,暂无数据,195,190
28,107104286012,43.88,1,1,1,1,16,中楼层,钢混结构,未知,精装,板楼,平层,0.6666666666666666,有,留园西园,姑苏,南,2021.08.21,2021-08-04,15,满两年,76,73
29,107102554094,96.77,2,3,1,1,27,中楼层,钢混结构,未知,精装,板楼,平层,0.5,有,城南,吴中,南,2021.08.21,2020-05-19,27,暂无数据,235,229
